tweet_id	text	misogyny	category
0	مستخدم@ وجعجع رئيسك رجل شو؟ ؟؟	none	none
1	مستخدم@ انتي مصدقه انك لكي اي لازمه انتي بنسبه لي أمريكا حشرة https://t.co/TD1pEGPaVg	misogyny	discredit
2	مستخدم@ متل كعب صباطك شعب رتش	none	none
3	مستخدم@ مستخدم@ مستخدم@ ليش الهجوم عليها؟ هي عم تقرأ المقدمة فقط. منها صاحبة المحطة ولا المسؤولة عن الكتابة.	none	none
4	مستخدم@ اهلا وسهلا فيكي بطرابلس	none	none
5	مستخدم@ متل ما حماكي الجيش وقت ما ضيفوا الشاي بحرب تموز	none	none
6	مستخدم@ نتمنى عقلك يرجعلك وتصير تفهمي متل الحمير.	misogyny	discredit
7	مستخدم@ مستخدم@ مستخدم@ بكرا بل حرب خليلي زعيمك يحميك بس بكرا متل شاطرين بدكن تقولو دخيلك يا سيد حمين… https://t.co/eSV9PENikU	none	none
8	مستخدم@ لو ابوك حي حط أقذر جزمة عنده في فمك	misogyny	threat of violence
9	مستخدم@ مستخدم@ مستخدم@ في عالم بتصير ع اكتاف الغير بتتسيد وبتصير زعماء وعالم مسحوقة تحت الصرامي بيحق… https://t.co/wayALTLwwv	none	none
10	مستخدم@ مستخدم@ يا افهم السيدات الله يباركك	none	none
11	مستخدم@ روحي لعنة الله عليك يا #واطية	misogyny	damning
12	"مستخدم@ "" سبحان الله الذي اضلك يا سجاح اليمن وجعلك تنبحين ليل نهار ضد المملكة العربية السعودية التي تعمل جاهدة على انقاذه بعد ان سلمه الخونه مثلك لاذناب الفرس .."	misogyny	discredit
13	مستخدم@ والله يا ست هانم انا ما شوفت احقر منك	misogyny	discredit
14	مستخدم@ وش حشرك يا حمالة الحطب قبح الله وجهك المفروض تنتقدين مقتل ام الأطفال اللي قتلوها بغال مران في اب	misogyny	damning
15	مستخدم@ اقسم بالله الحريم يبغالهم اخفاء من الارض ونعيش لحالنا بسلاممممم	misogyny	dominance
16	مستخدم@ مستخدم@ مستخدم@ تحية لمقدمتك الجميلة❤️��	none	none
17	مستخدم@ طولي بالك دمدوم مش عم تزبط معك	none	none
18	مستخدم@ نشالله بيقبرك يارث	misogyny	damning
19	مستخدم@ مستخدم@ #يمنى_الواطية	misogyny	discredit
20	مستخدم@ ليش نانسي السبع تصر على أنها مجموعة حزبية. وتصر وتصر رغم نفي الكل	none	none
21	مستخدم@ عظيمة انت نوال قولي لهم ـ لن تنالوا منا فنحن حرف وصورة وصوت قرار الحياة ـ اكتبوا لا نفسكم التاريخ الذي… https://t.co/XAn77XRZeN	none	none
22	مستخدم@ مستخدم@ نطلب منك الإستمرار في لجان التحكيم كي لا ينحرم أحد من هذا الإبداع	none	none
23	مستخدم@ هاد الخطاب لبناني وليس خطاب حزبي ياامورة	none	none
24	مستخدم@ العمى بعيونك بعتي ذمتك يا رخيصة تفه	misogyny	discredit
25	مستخدم@ مستخدم@ مستخدم@ معاشنا بخلص بنص الشهر..ونازلين ليتظاهرو لأن ما في مصاري وما في شغل..وآخر شي بقولو… https://t.co/90di0nqxHA	none	none
26	مستخدم@ يسلمني قلبك يا حنونة انتي	none	none
27	مستخدم@ يبعتلك سم يسمك وكل دعوات عبودي يوصلولك	misogyny	damning
28	مستخدم@ Bravo يا شاطرة، الله يحمي لبنان	none	none
29	مستخدم@ لعنت الله عليك واسال الله ان يرينا فيك عجائب قدرته	misogyny	damning
30	مستخدم@ Dima الله يقويكي ولا تتاثري لو قدر ذرة هذه أنفس مريضة وعلاجها صعب	none	none
31	مستخدم@ أكبر تشبيح من الذباب الاكتروني التابع لحزبلا يعني تشبيح شوارعي و تشبيح إلكتروني	none	none
32	مستخدم@ والله رحمينا نشف ريقنا قد ما صرنا مبزقين عليكي	misogyny	derailing
33	مستخدم@ هو و الله رائع و محترف عن جد 👍 شكرا على التوضيح سيدتي الفاضلة. مودتي.	none	none
34	مستخدم@ طيب وتركيا يا بقرة هل حاربة إسرائيل يوما الله يقرفكم بس	misogyny	discredit
35	في حاجتين مش مقتنع ان الستات ليهم دعوه بيهم ... الكورة ... التدريس في الجامعة	misogyny	dominance
36	مستخدم@ انتبهي ما يشوفوكي ����	none	none
37	مستخدم@ مستخدم@ عيب عليك ما تعرف انا أخوك	none	none
38	مستخدم@ اقعدي عاقلة يا ديما	misogyny	dominance
39	مستخدم@ مستخدم@ بتشتغل اكيدددد بتشتغل لأ لأ انضبي يا هبلة	misogyny	discredit
40	مستخدم@ ما عارف الواحد شو بده يوصفك كل الكلام اللي بليق فيكي عم يقولو قديش عم يدفعولك على كل تويت	none	none
41	مستخدم@ لبنان مش سوريا يا غبية	misogyny	discredit
42	مستخدم@ شو خص الضاحية يا حيوانة	misogyny	discredit
43	مستخدم@ بس يا وسخه يا زباله يا خاينه وطنك و شعبك يا حشرة	misogyny	discredit
44	مستخدم@ حاضر دمدوم يلا رح حط ب إجري و نازلة دغري ... يقطع عمرك ما أكمخك	misogyny	discredit
45	مستخدم@ والله ما شايف حدا اشجع منك بدي ياكي رئيسة جمهورية و لو من غير طايفة ما رح نمل تنسقط كل شي و نلغي الطائفية	none	none
46	مستخدم@ حتى لا ينسى العالم أن سيسي انقلابي إبن كلب https://t.co/ET1lowYait	none	none
47	مستخدم@ يا معتوهة انتي مجرد حشرة صغيرة 😂😂😂	misogyny	discredit
48	مستخدم@ شعب عظيم كل يوم بتثبتو انكم رجاله وقد المسؤاليه شكرا ياشعب لبنان	none	none
49	مستخدم@ طويلي على رقبتك	misogyny	dominance
50	مستخدم@ ليكي شفيلي حدا يبعتنا لعندو يمكن اريح �	none	none
51	مستخدم@ براڤو و كلنا رح ننزل معكن ما حدا يبقى بالبيت	none	none
52	مستخدم@ الضال عقلك وبدنك واصلك بين الترك والفرس ونعم الاختيار ختفو👣	misogyny	discredit
53	مستخدم@ ياختي حلوه وانتي ايه مصريه يانغه	none	none
54	مستخدم@ يلا موتي يا ست دييبي https://t.co/XJ7PnpWr7A	misogyny	discredit
55	مستخدم@ مستخدم@ صدقيني هيدي ما تردي عليها بتنفزر لأنها متل جورة الوسخ بس تحركيها بتطلع ريحتها	misogyny	discredit
56	مستخدم@ مستخدم@ مستخدم@ الى مزبلة التاريخ يا شرشوحة 	misogyny	discredit
57	مستخدم@ شو هل شرشوحة لزبالة انت قابرك السيد جايب اجل أمك. سرمايتو العتيقة انضف من وجك �	misogyny	discredit
58	مستخدم@ لازم تعملي وصله رقص مع انجي خوري	misogyny	stereotyping & objectification
59	مستخدم@ اخرسي وشوفي بلدك البتتحرق,تتحرقي يا غبيه	misogyny	discredit
60	مستخدم@ مستخدم@ مستخدم@ الله يلطف بالجميع	none	none
61	مستخدم@ عندما تهب العاصفة اول المغادرين هم اصحاب الفتن امثالك يا التي تحرض الناس ولديها مكان اخر عند الازمة.	misogyny	discredit
62	مستخدم@ مستخدم@ نوال بري مهنية ومهضومة ولو انها شيعية وبتشتغل وال mtv ولو انو أنا سني وضد الحراك لانو خرب… https://t.co/mkCLjX897L	none	none
63	مستخدم@ مين الك انو كان ممنوع في بنبطية ومحيطها ٢٠ صالة افراح وحفلات بس الفرق بين لجنوب وغير مناطق انو نحنا مش فاتحين مناطقنا لدعارة	none	none
64	مستخدم@ ديما الواطية شو متعاطيه اليوم بول البعير تقديمة ال سعود معلمينك ليش انت لبنانيه .... اكيد لا بلدك مين بيعطيك فلوس اكتر	misogyny	discredit
65	مستخدم@ كلامك لا يضره رحمة الله عليه وتغمده بواسع رحمته ولا ينفعك فقط زاد على قبحك قبح وضلالك ضلال سودالله وجهك في الدنيا والاخرة	misogyny	discredit
66	مستخدم@ ستظلي بنت حرام وواطيه واحقر امراه	misogyny	discredit
67	مستخدم@ ليليان خرااا خليكي ف القرية الايرانيه تبعك	misogyny	discredit
68	RT مستخدم@: مستخدم@ مبروك نوال نجاح ثورة كلن. صباح الثورة العظيم .العصافير تزقزق و بيروت قلبت دبي .الاصلاحات الي وعد فيها الحريري كلها…	none	none
69	مستخدم@ الحرمة ناقصة عقل كيف تصير زي الرجال العاقل غلط لازم عليك ولي يرشدك الى الطريق السليم	misogyny	dominance
70	مستخدم@ انت مين بسوقك؟ علفك مين بيدفع حقه صحافة مأجورة	misogyny	discredit
71	مستخدم@ انتى نفسك ترجعى عشان تلحقى نصيبك فى الهبر	misogyny	sexual harassment
72	مستخدم@ الله يحرقك كما أحرقتي الوطن العربي	misogyny	damning
73	مستخدم@ عنجد صايرة تافهة و انفضحت عالتقيل كيف منحازة	misogyny	discredit
74	مستخدم@ قال لن يسقط العهد مش الحكومة يا هبلة!	misogyny	discredit
75	مستخدم@ يا نوال انتبهي شو عم تنقلي حكي وبعتقد انت عرفتي مين رشقك بالميّ ..ويا ريت بترجعي لبيئتك وناسك �	none	none
76	مستخدم@ مستخدم@ ديما شاطرة كتير بس السيد شال العلم لا حتى امثالك يفهمو بالطريقة الصحيحة صار الدفاع عن العلم ا… https://t.co/8qG5FqK7u7	none	none
77	مستخدم@ فشرتي يا واطية	misogyny	discredit
