tweet_id	misogyny	category
0	misogyny	discredit
1	none	none
2	misogyny	discredit
3	misogyny	discredit
4	misogyny	discredit
5	misogyny	sexual harassment
6	none	none
7	none	none
8	none	none
9	misogyny	threat of violence
10	misogyny	discredit
11	misogyny	discredit
12	none	none
13	misogyny	discredit
14	misogyny	dominance
15	misogyny	threat of violence
16	none	none
17	none	none
18	misogyny	discredit
19	misogyny	discredit
20	none	none
21	none	none
22	misogyny	dominance
23	misogyny	sexual harassment
24	misogyny	stereotyping & objectification
25	none	none
26	none	none
27	misogyny	discredit
28	misogyny	stereotyping & objectification
29	misogyny	discredit
30	none	none
31	none	none
32	none	none
33	misogyny	stereotyping & objectification
34	misogyny	discredit
35	none	none
36	misogyny	none
37	none	none
38	misogyny	damning
39	misogyny	discredit
40	misogyny	damning
41	none	none
42	misogyny	stereotyping & objectification
43	misogyny	discredit
44	misogyny	discredit
45	misogyny	discredit
46	misogyny	stereotyping & objectification
47	misogyny	stereotyping & objectification
48	misogyny	damning
49	misogyny	damning
50	misogyny	discredit
51	none	none
52	misogyny	discredit
53	misogyny	discredit
54	none	none
55	misogyny	discredit
56	misogyny	dominance
57	misogyny	discredit
58	misogyny	stereotyping & objectification
59	misogyny	none
60	none	none
61	none	none
62	none	none
63	none	none
64	misogyny	stereotyping & objectification
65	none	none
66	none	none
67	misogyny	discredit
68	none	none
69	misogyny	discredit
70	none	none
71	misogyny	threat of violence
72	none	none
73	misogyny	discredit
74	misogyny	damning
75	none	none
76	misogyny	discredit
77	none	none
78	none	none
79	none	none
80	misogyny	discredit
81	misogyny	discredit
82	none	none
83	misogyny	discredit
84	misogyny	discredit
85	misogyny	discredit
86	none	none
87	none	none
88	none	none
89	none	none
90	misogyny	discredit
91	misogyny	damning
92	misogyny	stereotyping & objectification
93	misogyny	discredit
94	misogyny	discredit
95	misogyny	discredit
96	misogyny	stereotyping & objectification
97	misogyny	discredit
98	none	none
99	misogyny	damning
100	none	none
101	none	none
102	misogyny	discredit
103	none	none
104	misogyny	stereotyping & objectification
105	misogyny	damning
106	none	none
107	none	none
108	misogyny	damning
109	misogyny	discredit
110	misogyny	discredit
111	misogyny	dominance
112	none	none
113	misogyny	discredit
114	none	none
115	none	none
116	misogyny	discredit
117	none	none
118	misogyny	discredit
119	misogyny	discredit
120	misogyny	discredit
121	misogyny	discredit
122	misogyny	discredit
123	none	none
124	misogyny	discredit
125	misogyny	stereotyping & objectification
126	none	none
127	misogyny	discredit
128	misogyny	damning
129	none	none
130	misogyny	discredit
131	misogyny	discredit
132	misogyny	discredit
133	misogyny	stereotyping & objectification
134	misogyny	discredit
135	misogyny	stereotyping & objectification
136	none	none
137	misogyny	discredit
138	misogyny	discredit
139	none	none
140	misogyny	damning
141	misogyny	threat of violence
142	misogyny	dominance
143	misogyny	discredit
144	none	none
145	misogyny	discredit
146	none	none
147	misogyny	dominance
148	misogyny	discredit
149	misogyny	discredit
150	misogyny	discredit
151	misogyny	discredit
152	misogyny	damning
153	misogyny	derailing
154	misogyny	derailing
155	none	none
156	misogyny	stereotyping & objectification
157	misogyny	threat of violence
158	misogyny	discredit
159	misogyny	discredit
160	misogyny	damning
161	misogyny	discredit
162	none	none
163	misogyny	stereotyping & objectification
164	misogyny	damning
165	none	none
166	none	none
167	misogyny	discredit
168	misogyny	discredit
169	none	none
170	misogyny	discredit
171	misogyny	discredit
172	none	none
173	none	none
174	misogyny	discredit
175	misogyny	discredit
176	misogyny	damning
177	none	none
178	misogyny	discredit
179	none	none
180	none	none
181	misogyny	damning
182	none	none
183	misogyny	stereotyping & objectification
184	misogyny	discredit
185	none	none
186	misogyny	discredit
187	none	none
188	none	none
189	misogyny	discredit
190	none	none
191	misogyny	damning
192	none	none
193	misogyny	discredit
194	misogyny	discredit
195	misogyny	none
196	none	none
197	none	none
198	misogyny	damning
199	misogyny	threat of violence
200	none	none
201	none	none
202	none	none
203	none	none
204	none	none
205	none	none
206	none	none
207	misogyny	discredit
208	none	none
209	misogyny	discredit
210	misogyny	discredit
211	misogyny	discredit
212	none	none
213	misogyny	discredit
214	misogyny	stereotyping & objectification
215	none	none
216	misogyny	stereotyping & objectification
217	misogyny	none
218	none	none
219	misogyny	discredit
220	misogyny	stereotyping & objectification
221	none	none
222	misogyny	stereotyping & objectification
223	misogyny	discredit
224	misogyny	threat of violence
225	misogyny	stereotyping & objectification
226	misogyny	discredit
227	misogyny	discredit
228	misogyny	discredit
229	misogyny	discredit
230	none	none
231	misogyny	damning
232	misogyny	derailing
233	none	none
234	misogyny	discredit
235	misogyny	discredit
236	none	none
237	misogyny	discredit
238	none	none
239	misogyny	stereotyping & objectification
240	misogyny	discredit
241	misogyny	stereotyping & objectification
242	none	none
243	none	none
244	none	none
245	none	none
246	misogyny	discredit
247	misogyny	stereotyping & objectification
248	none	none
249	misogyny	sexual harassment
250	misogyny	discredit
251	misogyny	discredit
252	none	none
253	none	none
254	misogyny	discredit
255	misogyny	discredit
256	none	none
257	none	none
258	none	none
259	none	none
260	misogyny	discredit
261	misogyny	threat of violence
262	none	none
263	misogyny	discredit
264	misogyny	discredit
265	misogyny	discredit
266	misogyny	discredit
267	none	none
268	none	none
269	misogyny	stereotyping & objectification
270	misogyny	discredit
271	misogyny	discredit
272	none	none
273	misogyny	discredit
274	misogyny	discredit
275	none	none
276	misogyny	stereotyping & objectification
277	misogyny	discredit
278	none	none
279	none	none
280	none	none
281	misogyny	stereotyping & objectification
282	misogyny	damning
283	misogyny	discredit
284	none	none
285	misogyny	discredit
286	misogyny	discredit
287	misogyny	discredit
288	none	none
289	none	none
290	misogyny	discredit
291	misogyny	discredit
292	misogyny	stereotyping & objectification
293	misogyny	damning
294	none	none
295	misogyny	discredit
296	misogyny	discredit
297	none	none
298	misogyny	threat of violence
299	misogyny	discredit
300	none	none
301	none	none
302	misogyny	stereotyping & objectification
303	misogyny	discredit
304	none	none
305	misogyny	threat of violence
306	misogyny	damning
307	misogyny	stereotyping & objectification
308	none	none
309	misogyny	discredit
310	misogyny	damning
311	none	none
312	none	none
313	misogyny	discredit
314	misogyny	none
315	misogyny	discredit
316	misogyny	discredit
317	none	none
318	misogyny	stereotyping & objectification
319	none	none
320	misogyny	discredit
321	none	none
322	misogyny	discredit
323	misogyny	discredit
324	misogyny	sexual harassment
325	misogyny	threat of violence
326	none	none
327	misogyny	discredit
328	misogyny	threat of violence
329	none	none
330	none	none
331	misogyny	derailing
332	misogyny	discredit
333	misogyny	damning
334	misogyny	stereotyping & objectification
335	misogyny	discredit
336	misogyny	damning
337	misogyny	stereotyping & objectification
338	misogyny	discredit
339	none	none
340	misogyny	discredit
341	misogyny	stereotyping & objectification
342	misogyny	discredit
343	misogyny	discredit
344	misogyny	discredit
345	misogyny	discredit
346	misogyny	discredit
347	misogyny	discredit
348	none	none
349	misogyny	discredit
350	misogyny	threat of violence
351	misogyny	discredit
352	misogyny	discredit
353	misogyny	stereotyping & objectification
354	none	none
355	misogyny	stereotyping & objectification
356	misogyny	discredit
357	misogyny	damning
358	misogyny	discredit
359	misogyny	discredit
360	misogyny	discredit
361	misogyny	discredit
362	misogyny	stereotyping & objectification
363	misogyny	discredit
364	misogyny	discredit
365	misogyny	threat of violence
366	none	none
367	none	none
368	misogyny	damning
369	misogyny	discredit
370	misogyny	discredit
371	none	none
372	none	none
373	misogyny	threat of violence
374	misogyny	discredit
375	none	none
376	none	none
377	none	none
378	none	none
379	none	none
380	none	none
381	none	none
382	none	none
383	none	none
384	misogyny	discredit
385	none	none
386	none	none
387	misogyny	discredit
388	misogyny	threat of violence
389	misogyny	discredit
390	none	none
391	none	none
392	misogyny	discredit
393	none	none
394	misogyny	damning
395	misogyny	discredit
396	none	none
397	misogyny	discredit
398	misogyny	damning
399	misogyny	discredit
400	none	none
401	none	none
402	misogyny	discredit
403	none	none
404	misogyny	discredit
405	misogyny	discredit
406	none	none
407	misogyny	damning
408	misogyny	discredit
409	misogyny	discredit
410	misogyny	discredit
411	misogyny	stereotyping & objectification
412	misogyny	discredit
413	none	none
414	none	none
415	misogyny	damning
416	misogyny	discredit
417	misogyny	stereotyping & objectification
418	none	none
419	misogyny	discredit
420	misogyny	discredit
421	misogyny	discredit
422	misogyny	stereotyping & objectification
423	misogyny	damning
424	misogyny	stereotyping & objectification
425	none	none
426	none	none
427	misogyny	discredit
428	misogyny	stereotyping & objectification
429	misogyny	damning
430	none	none
431	none	none
432	none	none
433	misogyny	discredit
434	misogyny	discredit
435	misogyny	discredit
436	misogyny	stereotyping & objectification
437	misogyny	discredit
438	misogyny	discredit
439	none	none
440	none	none
441	misogyny	discredit
442	misogyny	discredit
443	misogyny	discredit
444	misogyny	damning
445	misogyny	discredit
446	none	none
447	none	none
448	none	none
