tweet_id	category
0	discredit
1	none
2	discredit
3	discredit
4	none
5	damning
6	none
7	none
8	none
9	threat of violence
10	damning
11	discredit
12	none
13	discredit
14	dominance
15	threat of violence
16	none
17	none
18	discredit
19	none
20	none
21	none
22	dominance
23	sexual harassment
24	stereotyping & objectification
25	none
26	none
27	discredit
28	discredit
29	discredit
30	none
31	none
32	none
33	stereotyping & objectification
34	damning
35	none
36	none
37	none
38	damning
39	discredit
40	damning
41	none
42	stereotyping & objectification
43	damning
44	discredit
45	none
46	none
47	stereotyping & objectification
48	damning
49	damning
50	discredit
51	none
52	discredit
53	stereotyping & objectification
54	none
55	discredit
56	dominance
57	discredit
58	stereotyping & objectification
59	stereotyping & objectification
60	discredit
61	none
62	none
63	none
64	none
65	none
66	none
67	none
68	none
69	discredit
70	none
71	derailing
72	none
73	discredit
74	damning
75	none
76	discredit
77	none
78	none
79	none
80	discredit
81	damning
82	none
83	discredit
84	discredit
85	discredit
86	none
87	none
88	none
89	none
90	discredit
91	damning
92	stereotyping & objectification
93	discredit
94	discredit
95	none
96	stereotyping & objectification
97	discredit
98	none
99	damning
100	none
101	none
102	damning
103	none
104	stereotyping & objectification
105	damning
106	none
107	none
108	damning
109	discredit
110	none
111	dominance
112	none
113	discredit
114	none
115	none
116	discredit
117	none
118	damning
119	discredit
120	discredit
121	discredit
122	discredit
123	none
124	threat of violence
125	stereotyping & objectification
126	none
127	discredit
128	damning
129	none
130	discredit
131	discredit
132	discredit
133	discredit
134	discredit
135	stereotyping & objectification
136	none
137	discredit
138	discredit
139	none
140	damning
141	none
142	dominance
143	threat of violence
144	none
145	discredit
146	threat of violence
147	dominance
148	discredit
149	threat of violence
150	damning
151	discredit
152	damning
153	discredit
154	derailing
155	none
156	stereotyping & objectification
157	threat of violence
158	discredit
159	discredit
160	damning
161	discredit
162	none
163	stereotyping & objectification
164	damning
165	none
166	none
167	damning
168	discredit
169	none
170	discredit
171	discredit
172	none
173	none
174	discredit
175	discredit
176	damning
177	none
178	discredit
179	none
180	none
181	damning
182	none
183	none
184	discredit
185	none
186	threat of violence
187	none
188	none
189	none
190	none
191	damning
192	none
193	discredit
194	discredit
195	none
196	none
197	none
198	damning
199	threat of violence
200	none
201	none
202	none
203	none
204	none
205	none
206	none
207	none
208	none
209	discredit
210	damning
211	discredit
212	none
